category_id,value
height_male,175.07
height_male,172.65
height_male,172.36
height_male,171.99
height_male,165.03
height_male,167.29
height_male,170.89
height_male,174.45
height_male,165.99
height_male,172.38
height_male,165.5
height_male,174.79
height_male,171.2
height_male,164.54
height_male,182.91
height_male,166.89
height_male,178.13
height_male,164.62
height_male,177.69
height_male,177.79
height_male,175.03
height_male,172.77
height_male,170.83
height_male,178.39
height_male,164.55
height_male,162.93
height_male,174.34
height_male,176.73
height_male,168.99
height_male,175.36
height_male,173.62
height_male,168.33
height_male,171.92
height_male,175.3
height_male,171.98
height_male,164.94
height_male,181.8
height_male,177.5
height_male,181.25
height_male,167.63
height_male,163.99
height_male,170.88
height_male,167.91
height_male,174.66
height_male,169.83
height_male,184.49
height_male,174.98
height_male,163.91
height_male,165.11
height_male,170.16
height_male,167.24
height_male,166.26
height_male,165.55
height_male,171.76
height_male,189.03
height_male,167.27
height_male,172.46
height_male,168.63
height_male,170.91
height_male,184.08
height_male,165.6
height_male,173.62
height_male,161.63
height_male,165.18
height_male,168.1
height_male,163.62
height_male,172.94
height_male,176.53
height_male,171.49
height_male,182.91
height_male,176.19
height_male,177.22
height_male,173.99
height_male,169.08
height_male,169.23
height_male,173.2
height_male,175.42
height_male,173.66
height_male,162.6
height_male,173.94
height_male,163.94
height_male,175.51
height_male,174.32
height_male,170.26
height_male,172.22
height_male,178.4
height_male,175.5
height_male,179.9
height_male,173.58
height_male,183.45
height_male,166.92
height_male,176.63
height_male,174.62
height_male,164.97
height_male,174.43
height_male,172.37
height_male,179.53
height_male,172.42
height_male,173.15
height_male,187.77
height_male,166.06
height_male,162.77
height_male,174.51
height_male,174.37
height_male,172.79
height_male,167.44
height_male,176.22
height_male,175.6
height_male,161.92
height_male,166.16
height_male,178.43
height_male,160.19
height_male,169.88
height_male,160.26
height_male,171.67
height_male,177.95
height_male,173.7
height_male,174.5
height_male,182.38
height_male,165.52
height_male,164.66
height_male,171.46
height_male,167.96
height_male,160.31
height_male,172.86
height_male,172.74
height_male,167.16
height_male,167.52
height_male,169.39
height_male,171.83
height_male,173.16
height_male,165.12
height_male,174.01
height_male,174.33
height_male,178.67
height_male,183.82
height_male,177.56
height_male,172.79
height_male,173.93
height_male,179.47
height_male,174.65
height_male,173.51
height_male,169.1
height_male,189.22
height_male,164.78
height_male,171.32
height_male,173.98
height_male,174.58
height_male,168.98
height_male,168.4
height_male,182.32
height_male,162.88
height_male,171.75
height_male,168.31
height_male,171.41
height_male,171.69
height_male,176.1
height_male,174.95
height_male,166.85
height_male,173.89
height_male,163.85
height_male,169.16
height_male,170.78
height_male,175.94
height_male,177.94
height_male,165.55
height_male,167
height_male,171.9
height_male,179.7
height_male,174.56
height_male,173.97
height_male,176.55
height_male,168.37
height_male,168.97
height_male,168.86
height_male,173.39
height_male,173.84
height_male,165.75
height_male,171.65
height_male,163.18
height_male,192.93
height_male,167.68
height_male,177.4
height_male,164.07
height_male,165.76
height_male,173.87
height_male,168.47
height_male,168.44
height_male,173.67
height_male,176.1
height_male,174.61
height_male,173.16
height_male,168.42
height_male,172.09
height_male,173.37
height_male,170.73
height_male,165.7
height_male,170.42
height_male,180.09
height_male,156.48
height_male,179.34
height_male,162.97
height_male,167.24
height_male,165.4
height_male,171.82
height_male,182.7
height_male,168.34
height_male,162.5
height_male,167.09
height_male,161.75
height_male,175.51
height_male,178.12
height_male,169.17
height_male,175.16
height_male,170.89
height_male,173.96
height_male,173.02
height_male,173.16
height_male,175.54
height_male,177.24
height_male,170.69
height_male,170.87
height_male,164.8
height_male,172.58
height_male,163.78
height_male,175.93
height_male,172.75
height_male,177.36
height_male,168.41
height_male,173.02
height_male,165.31
height_male,169.97
height_male,167.88
height_male,166.28
height_male,169.7
height_male,160.73
height_male,170.99
height_male,176.57
height_male,167.93
height_male,175.2
height_male,166
height_male,177.48
height_male,164.96
height_male,171.78
height_male,172.39
height_male,172.72
height_male,167.79
height_male,160.05
height_male,174.46
height_male,160.38
height_male,172.76
height_male,175.8
height_male,160.39
height_male,177.4
height_male,173.81
height_male,170.38
height_male,175.88
height_male,192.13
height_male,176.51
height_male,168.12
height_male,172.98
height_male,173.42
height_male,175.51
height_male,158.86
height_male,176.28
height_male,175.36
height_male,178.76
height_male,165.69
height_male,175.44
height_male,183.38
height_male,176.54
height_male,164.72
height_male,177.91
height_male,167.11
height_male,175.84
height_male,168.35
height_male,161.65
height_male,173.05
height_male,164.06
height_male,179.43
height_male,178.55
height_male,176.1
height_male,189.49
height_male,174.67
height_male,168.79
height_male,166.62
height_male,176.47
height_male,180.09
height_male,177.15
height_male,174.79
height_male,182.27
height_male,183.3
height_male,156.21
height_male,165.57
height_male,175.09
height_male,170.34
height_male,177.88
height_male,175.81
height_male,169.83
height_male,177.14
height_male,173.09
height_male,177.9
height_male,168.48
height_male,172.52
height_male,177.86
height_male,175.92
height_male,169.77
height_male,184.59
